plugin	status	version
Akismet	active	3.3
All In One SEO Pack	active	2.3.12.4
All-in-One WP Migration	active	7.44
Archives for a category	active	1.4b
Auto Post Thumbnail	active	3.4.1
BackWPup	active	3.3.7
Category Posts Widget	active	4.7.2
Classic Editor	active	1.6.2
Crazy Bone	active	0.6.0
Custom Field Template	active	2.3.7
Custom Post Templates	active	1.5
Google XML Sitemaps	active	4.0.8
Ktai Entry	active	0.9.1.2
MapPress	active	2.44.3
Photospace	active	2.3.5
WP Pagenavi Style	active	1.4
WP-PageNavi	active	2.91
WP Total Hacks	active	4.7.2
